,max_pair,max_score,phar1,phar2
0,398497_conf1-180149_conf2,0.5394,398497,180149
1,398497_conf5-2071070_conf1,0.4613,398497,2071070
2,398497_conf1-2091423_conf2,0.5444,398497,2091423
3,398497_conf1-686751_conf5,0.4167,398497,686751
4,398497_conf1-341385_conf2,0.399,398497,341385
5,398497_conf3-1332919_conf4,0.4189,398497,1332919
6,398497_conf1-88308_conf4,0.3931,398497,88308
7,398497_conf2-398496_conf5,0.6036,398497,398496
8,398497_conf4-262350_conf1,0.4476,398497,262350
9,398497_conf4-248542_conf1,0.3628,398497,248542
10,398497_conf4-350714_conf5,0.4512,398497,350714
11,398497_conf1-180054_conf4,0.6877,398497,180054
12,398497_conf5-398455_conf3,0.4933,398497,398455
13,398497_conf4-2361_conf4,0.447,398497,2361
14,398497_conf1-514141_conf5,0.5182,398497,514141
15,398497_conf1-514142_conf5,0.5089,398497,514142
16,398497_conf3-300073_conf2,0.3442,398497,300073
17,398497_conf4-686688_conf1,0.4772,398497,686688
18,398497_conf3-1057366_conf5,0.6433,398497,1057366
19,398497_conf4-1344120_conf3,0.4794,398497,1344120
20,398497_conf5-625220_conf1,0.443,398497,625220
21,398497_conf1-1749378_conf2,0.3808,398497,1749378
22,180149_conf1-2071070_conf4,0.4397,180149,2071070
23,180149_conf1-2091423_conf5,0.5346,180149,2091423
24,180149_conf3-686751_conf3,0.5191,180149,686751
25,180149_conf1-341385_conf1,0.4857,180149,341385
26,180149_conf1-1332919_conf3,0.6728,180149,1332919
27,180149_conf1-88308_conf4,0.4388,180149,88308
28,180149_conf4-398496_conf4,0.694,180149,398496
29,180149_conf5-262350_conf2,0.5092,180149,262350
30,180149_conf5-248542_conf2,0.4382,180149,248542
31,180149_conf2-350714_conf2,0.5447,180149,350714
32,180149_conf5-180054_conf1,0.6831,180149,180054
33,180149_conf3-398455_conf5,0.4931,180149,398455
34,180149_conf5-2361_conf5,0.505,180149,2361
35,180149_conf2-514141_conf5,0.5181,180149,514141
36,180149_conf1-514142_conf4,0.5172,180149,514142
