,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
0,T1,BioChemical,Maltase-glucoamylase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
1,T2,BioChemical,Sulfonylurea receptor 2,Transporter,Primary active transporter,ATP-binding cassette,ABCC subfamily,Chembl,transporter  ntpase  atp binding cassette  mrp
2,T3,BioChemical,Phosphodiesterase 5A,Enzyme,Phosphodiesterase,Phosphodiesterase 5,Phosphodiesterase 5A,Chembl,enzyme  phosphodiesterase  pde_5  pde_5a
3,T4,BioChemical,Voltage-gated T-type calcium channel alpha-1H subunit,Ion channel,Voltage-gated ion channel,Voltage-gated calcium channel,,Chembl,ion channel  vgc  vg ca
4,T6,BioChemical,Dihydrofolate reductase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
5,T8,BioChemical,Tyrosine-protein kinase ABL,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  abl
6,T9,BioChemical,Epidermal growth factor receptor erbB1,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  egfr
7,T11,BioChemical,Thrombin,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
8,T12,BioChemical,Plasminogen,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
9,T14,BioChemical,Adenosine deaminase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
10,T15,BioChemical,Carbonic anhydrase II,Enzyme,Lyase,,,Chembl,enzyme  lyase
11,T16,BioChemical,Antithrombin-III,Secreted protein,,,,Chembl,secreted
12,T19,BioChemical,Estrogen receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group A,Chembl,transcription factor  nuclear receptor  nr3  nr3a  nr3a1
13,T23,BioChemical,Plasma kallikrein,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
14,T24,BioChemical,HMG-CoA reductase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
15,T25,BioChemical,Glucocorticoid receptor,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Chembl,transcription factor  nuclear receptor  nr3  nr3c  nr3c1
16,T28,BioChemical,Thymidylate synthase,Enzyme,,,,Chembl,enzyme
17,T29,BioChemical,Sodium/potassium-transporting ATPase alpha-1 chain,Transporter,Primary active transporter,P-type ATPase,Sodium potassium ATPase,Chembl,transporter  ntpase  p-type atpase  na k atpase
18,T29,BioChemical,Sodium/potassium-transporting ATPase alpha-1 chain,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
19,T30,BioChemical,Aldehyde dehydrogenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
20,T32,BioChemical,Cytochrome P450 11A1,Enzyme,Cytochrome P450,Cytochrome P450 family 11,Cytochrome P450 family 11A,Chembl,enzyme  cytochrome p450  cyp_11  cyp_11a  cyp_11a1
21,T33,BioChemical,Tubulin beta-2 chain,Structural protein,,,,Chembl,structural
22,T34,BioChemical,Fibronectin receptor beta,Membrane receptor,,,,Chembl,membrane receptor
23,T35,BioChemical,Insulin receptor,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  insr
24,T36,BioChemical,Progesterone receptor,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Chembl,transcription factor  nuclear receptor  nr3  nr3c  nr3c3
25,T38,BioChemical,Epoxide hydrolase 1,Enzyme,Protease,Serine protease,Serine protease SC clan,Chembl,enzyme  protease  serine  sc  s33
26,T39,BioChemical,Tyrosine 3-hydroxylase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
27,T40,BioChemical,Thyroid peroxidase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
28,T41,BioChemical,Alcohol dehydrogenase alpha chain,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
29,T42,BioChemical,Trypsin I,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
30,T43,BioChemical,Beta-2 adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
